编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
7361,去哪融,http://www.qnrong.com/,,200,江西省,吉安市,,江西博商汇电子商务有限公司,,问题平台?,否?,否?,,,,,400-998-5628?,,,,,江西省吉安市吉州区井冈山大道120号天都国际公馆1幢1916室?,2015-11-09?,,,1小时?,,
7362,联富在线,http://www.zwantz.com/,,100,广东省,深圳市,福田区,深圳市展旺安科技有限公司,,问题平台?,否?,否?,,,,,4000-7715-08?,广东?,深圳?,福田区?,深圳市福田沙头街道车公庙阳光名苑3栋12C?,深圳市福田区沙头街道车公庙阳光名苑3栋12C?,2014-05-09?,2017-04-30?,网站打不开?,1小时?,91440300MA5D9DL572?,
7363,颐松金融,http://www.hnyisong.com/,,5000,湖南省,长沙市,雨花区,湖南颐松控股有限公司,,正常?,否?,否?,,,,,400-657-2668?,,,,湖南省长沙市雨花区万家丽中路三段36号喜盈门范城2栋30层30013-30014号?,长沙市雨花区万家丽中路三段36号喜盈门范城2栋30层30013-30014号?,2015-06-09?,,,1小时?,,
7364,艺术品金融中心,http://www.yspjrzx.com/,,10000,北京市,北京市,,中兴远见投资管理有限公司,,正常?,否?,否?,,,,,010-57269499?,,,,北京市朝阳区朝内大街256号?,北京市朝阳区西大望路3号院3号楼22层2608?,2016-08-13?,,,1小时?,,
7365,零投,http://dk.meijite.com/,,200,江苏省,苏州市,,昆山美吉特电子商务有限公司,,问题平台?,否?,否?,,,,,400-825-9400?,,,,江苏省苏州市昆山市陆家镇金阳东路1068号G栋三层?,陆家镇金阳东路1068号4幢?,2013-03-05?,,,1小时?,,
7366,高垒金融,http://www.gaoleijr.com/,,5000,上海市,上海市,,上海高垒金融信息服务有限公司,,问题平台?,否?,否?,高垒金融平台注册信息和跑路理财团上海公司一样?,,,,021-66075521?,,,,上海市静安区西藏北路558号铭德国际广场21楼2101室?,上海市奉贤区金钱公路228号2幢1532室?,2017-06-20?,,,1小时?,,
7367,智惠金融,http://www.tjz.cn:8080/,,5000,天津市,天津市,,智惠财富科技（天津）有限公司,,问题平台?,否?,否?,旧址：?,,,,400-1600-610?,,,,天津市南开区卫津南路与霞光道交口宁泰广场21层?,天津自贸区（东疆保税港区）洛阳道601号（海丰物流园七号仓库1单元-188）?,2016-12-28?,,,1小时?,,
7368,金财公信贷,http://www.jincaigongxindai.com/,,1000,湖北省,黄冈市,,湖北金财公信贷金融信息服务有限公司,,正常?,否?,否?,,,,,400-1333-168?,,,,黄冈市中环路46号4楼?,黄冈市黄州区中环路46号四楼?,2016-01-28?,,,1小时?,,
7369,央金贷,http://www.yjqz168.com/,,1000,广东省,深圳市,福田区,深圳市央金钱庄财富管理有限公司,,问题平台?,否?,否?,,,,,4009972889?,广东?,深圳?,福田区?,广东省深圳市福田区梅林街道深华科技园1栋5f2?,深圳市福田区梅林街道深华科技园1栋5f2?,2015-05-01?,2018-03-08?,网站打不开?,1小时?,91440300326534336H?,
7370,微银在线,http://www.wyline.cn/,,500,浙江省,嘉兴市,,嘉兴微银金融服务外包有限公司,,问题平台?,否?,否?,2018-07-18 网站打不开?,,,,0573-82079299?,,,,嘉兴市秀洲区中山大厦2幢1507室?,嘉兴市秀洲新区中禾广场603室-C?,2016-01-17?,,,1小时?,,
7371,宝利源,https://www.bly2015.com/,,3000,福建省,福州市,,福建万桥投资咨询有限公司,,问题平台?,否?,否?,,,,,400-008-5511?,,,,福州市台江区万达中心20层?,福建省福州市台江区新港街道五一南路1号联信中心11层01室-03间?,2016-01-14?,,,1小时?,,
7372,直向财富,http://www.zhixiangcf.com/,,1008,上海市,上海市,,上海直向投资管理有限公司,,正常?,否?,否?,,,,,400-109-7800?,,,,上海市陆家嘴浦东南路855号世界广场35楼?,上海市奉贤区四团镇邵厂北区89号南幢2号楼105室?,2015-12-14?,,,1小时?,,
7373,钱贷宝,https://www.qdbao.com,,1000,河南省,郑州市,,河南钱贷宝金融服务股份有限公司,,正常?,否?,否?,,,,,400-8836-333?,,,,郑州市郑东新区文化产业大厦B座?,郑州市郑东新区东风南路东、商鼎路南河南文化产业大厦2座21层04号?,2017-01-09?,,,1小时?,,
7374,宏亚金融,http://www.hongyajinrong.com,,8000,浙江省,杭州市,,杭州宏亚金融信息服务有限公司,,预警平台?,否?,否?,2018-07-20 平台逾期，提现困难，负责人更换频繁。官网发布逾期声明公告?,,,,400-817-8383?,浙江?,杭州?,滨江区?,浙江省杭州市滨江区江南大道4760号 亚科中心A楼902-903室?,浙江省杭州市滨江区浦沿街道滨文路422号文耀大厦10楼1022室?,2017-06-23?,,,1小时?,91330108MA27WDRD50?,
7375,象象财富,https://www.xxcfu.com,,5000,浙江省,杭州市,,杭州喜金诚网络科技有限公司,,问题平台?,否?,否?,,,,,0571-86777909?,,,,浙江省杭州市江干区钱江新城迪凯国际中心18A?,浙江省杭州市江干区凯旋路70号茶都名园16号楼3号?,2017-06-28?,2017-09-28?,跑路，网站打不开?,1小时?,,
7376,玖儒财富,http://www.jiurucaifu.com,,10000,上海市,上海市,,上海玖儒资产管理有限公司,,正常?,否?,否?,标签采，记录采不到?,,,,021-61040601?,,,,上海浦东新区新金桥路58号银东大厦10A?,中国（上海）自由贸易试验区新金桥路58号10A室?,2017-06-29?,,,1小时?,,
7377,友鑫金融,http://www.youxjr.com/,,10000,浙江省,宁波市,,浙江友鑫金融服务外包有限公司,,问题平台?,否?,否?,,,,,0574-87071505?,,,,浙江省宁波市鄞州区江东中兴路719号华宏第五大道517室?,宁波市鄞州区姜山镇仪门村（科技园区）?,2017-05-10?,,,1小时?,,
7378,融昌金服,http://www.rongchangcaifu.net/,,5000,辽宁省,大连市,,大连融昌商务信息咨询有限公司,,问题平台?,否?,否?,,,,,0411 3922 0155?,,,,,辽宁省大连市金州区光明街道雍华阁1-5号1-2层?,2017-06-15?,,,1小时?,,
7379,恒安e贷,https://www.sshatz.com/,,3000,辽宁省,大连市,,盛世恒安（大连）投资管理有限公司,,正常?,否?,否?,免费咨询电话：400-770-7667 大连总公司：大连市中山区东港万达中心1401室 0411-82209431 普兰店公司：普兰店市世纪路西段外滩九?,,,,0411-82209431?,,,,大连市中山区东港万达中心1401室?,辽宁省大连市中山区港兴路6号大连万达中心写字楼14层01、02、03单元?,2015-09-25?,,,1小时?,,
7380,车期汇,http://www.cheqihui.com/,,3000,浙江省,宁波市,,宁波车期汇金融科技有限公司,,警?,否?,否?,,,,,400-616-0574 ?,,,,浙江宁波市江东区宁波书城A座19楼?,宁波保税区鸿海商贸楼708-2室?,2015-11-05?,2017-08-22?,打不开?,1小时?,,
7381,开茂创投,http://www.kaimaoct.com/,,5070,浙江省,台州市,,浙江开茂投资管理有限公司,,问题平台?,否?,否?,2018-07-19 网站打不开?,,,,4009057608?,,,,浙江省台州市黄岩区江口街道上辇村一幢5单元03号?,浙江省台州市黄岩区江口街道上辇村?,2017-06-27?,,,1小时?,,
7382,亿绑投资理财,http://www.yibangkeji.com.cn/,,900,安徽省,宣城市,,宁国市亿邦生物科技有限公司,,警?,否?,否?,,,,,,,,,,宁国市山门北路西苑小区6号楼?,2017-06-20?,,,1小时?,,
7383,鑫亚普惠,http://www.xyph.liandaitx.com/,,3000,四川省,成都市,,四川鑫亚普惠网络科技有限公司,,问题平台?,否?,否?,2018-07-16 网站打不开?,,,,028-62414886?,,,,成都市龙泉驿区龙都南路537号903号?,四川省成都市龙泉驿区龙泉街道办事处文旭路207号2栋5号及3栋7号?,2015-10-12?,,,1小时?,,
7384,易钱汇,http://www.1qhjr.com,,5000,江西省,上饶市,,上饶市捷丰汇金金融信息咨询有限公司,,问题平台?,否?,否?,,,,,4006677198?,,,,江西省上饶市信州区上饶外商国际商务中心一幢5单元03号?,江西省上饶市信州区上饶外商国际商务中心壹幢五单元03号?,2017-06-28?,,,1小时?,,
7385,众资本,http://www.zziben.com/,,2000,上海市,上海市,,上海锐雄金融信息服务有限公司,,问题平台?,否?,否?,,,,,400-098-9755?,,,,上海市宝山区一二八纪念路968号1001~1006室?,上海市闵行区元江路5500号第1幢F194室?,2017-06-29?,2017-09-15?,网站打不开?,1小时?,,
7386,银强金融,https://yqjinrong.com/,,5000,浙江省,台州市,,三门银强金融服务外包有限公司,,正常?,否?,否?,变更为实缴资本5000万元。并通过浙江华夏会计师事务所出具验证报告。?,,,,400-660-8652?,,,,浙江省台州市三门县海游街道湖塘月色梧桐路29-1号?,浙江省三门县海游街道湫水大道31-207江南明珠小区?,2017-06-01?,,,1小时?,,
7387,金库贷,http://www.jkd8888.com,,6800,浙江省,宁波市,,浙江金库网络科技有限公司,,问题平台?,否?,否?,2017-08-04 金库贷官方群解散，网站已打不开，跑路！?,,,,0574-88220868?,,,,浙江省宁波市高新区清水桥路611号华城国际1007?,浙江省宁波高新区清水桥路611号华城花园31、35、37号038幢13-4?,2017-06-12?,2017-08-02?,跑路?,1小时?,,
7388,企用贷,http://www.qiyongdai.com,,5000,上海市,上海市,,上海企用投资管理有限公司,,问题平台?,否?,否?,,,,,481208603?,,,,上海市浦东新区惠南镇拱极路2359号?,上海市金山区枫泾镇环东一路65弄13号119室?,2017-06-27?,,,1小时?,,
7389,兴彤财富,http://www.xtongvip.com,,5000,上海市,上海市,,上海兴彤投资管理有限公司,,预警平台?,否?,否?,"原计划于2017年7月14日上线起航,网站还需要调试一段时间，暂停营业公告?",,,,021-61550106?,,,,上海市黄浦区打浦路398弄（衡辰商务楼）4号楼302A?,上海市徐汇区船厂路181号1幢308室?,2017-06-05?,2017-07-14?,暂停运营?,1小时?,,
7390,钱帮网,http://www.qbang168.com/,,1000,广东省,广州市,天河区,广州钱帮电子商务有限公司,,问题平台?,否?,否?,,,,,4009315008?,,,,广东省广州市天河区体育西路153号?,广州市荔湾区康王中路486号902房自编907?,2014-09-29?,,,1小时?,,
7391,悦融庄,https://www.yrfax.com/,,2000,浙江省,杭州市,西湖区,杭州悦融庄资产管理有限责任公司,,正常?,否?,否?,,,,,4001-078-079?,,,,浙江 · 台州 · 新台州大厦15楼C室?,浙江省杭州市西湖区三墩镇西港发展中心西1幢301-1室?,2017-03-25?,,,1小时?,,
7392,微金投,http://www.p2owjt.com,,5000,广西省,桂林市,,广西桂一族投资咨询有限公司,,预警平台?,否?,否?,http://www.wangdaigw.com/article-40720-1.html 2018-5-24 平台两周未回款 有投资者怀疑平台已跑路?,,,,400-162-2628?,,,,广西壮族自治区北海市北海大道16号E栋25楼?,广西南宁市江南区朋云路9号罗马花园商住小区A栋921号?,2017-06-03?,,,1小时?,,
7393,康达来利,https://www.szskdll.com/,,500,广东省,深圳市,前海,深圳市康达在线互联网金融服务有限公司,,问题平台?,否?,否?,,,,,4001655488?,广东?,深圳?,前海?,深圳市前海深港合作区前湾一路63号前海企业公馆25B栋2层整层?,深圳市前海深港合作区前湾一路63号前海企业公馆25B栋2层整层?,2015-12-09?,,,1小时?,91440300319308525R?,4403050020060100037000001?
7394,米隆利投资,http://www.mllcf.com,,9999,浙江省,宁波市,鄞州区,宁波米隆利信息科技有限公司,,问题平台?,否?,否?,,,,,0574-87139549?,浙江?,宁波?,海曙区?,宁波市海曙区药行街银亿环球42号B座701?,浙江省宁波市鄞州区江东南路175，177号（1-3）-（1-5）?,2017-05-31?,,,1小时?,91330206MA28YBBU97?,
7395,胜和金融,http://www.shenghejr.com,,5000,浙江省,宁波市,,宁波胜和金融服务外包有限公司,,问题平台?,否?,否?,2018-07-19 网站打不开?,,,,0574—87068761?,,,,宁波市江东区彩虹北路48号波特曼大厦1503室?,北仑区新碶新建路2号3幢1号130室?,2017-06-09?,,,1小时?,,
7396,前金融,http://www.qianjr.com,,8000,广东省,深圳市,福田区,深圳市君达辉金融服务有限公司,,预警平台?,否?,否?,关于“前金融”平台案情通报https://mp.weixin.qq.com/s/eyO0MiCvTig69HvBUEckaw?,,,,4006-300-776?,广东?,深圳?,福田区?,深圳市福田区梅林街道梅林路卓越梅林中心广场一期4栋6层606?,深圳市福田区梅林街道梅林路卓越梅林中心广场一期4栋6层606?,2017-07-10?,2018-09-21?,涉嫌非法吸收公众存款?,1小时?,91440300358298980C?,
7397,翼汇财,https://www.yihuicai.cn,,1155.5544,北京市,北京市,,北京汇财金服科技有限公司,,正常?,否?,否?,,,,,4000 810 150?,,,,北京市朝阳区京顺路5号曙光大厦C座4层?,北京市西城区新街口外大街28号B座511号?,2016-06-14?,,,1小时?,,
7398,悠兔理财,http://www.u2licai.com/,,2000,上海市,上海市,,上海金互行互联网金融信息服务有限公司,,正常?,否?,否?,原域名http://122.112.220.170:8013/?,,,,021-63335656|u2licai@jinhuhang.com.cn?,,,,上海市黄浦区河南南路33号18楼?,上海市浦东新区云汉路979号2楼?,2016-08-25?,,,1小时?,,
7399,向前金服,https://www.xiangqianjinfu.com,,10000,北京市,北京市,,北京捷越联合金融信息服务有限公司,,正常?,否?,否?,2017年6月存管数据迁移，内部测试，观察观察。只显示进行中的标?,,,,10106618?,,,,,北京市东城区南竹杆胡同2号1幢8层30909?,2016-12-13?,,,1小时?,,
7400,国泰财富,http://www.guotaicaifu.cn,,2000,山东省,济南市,,山东省汽车工业集团工贸有限公司,,问题平台?,否?,否?,,,,,400-168-1816?,,,,,济南市历山路146-1号?,2017-05-06?,,,1小时?,,
7401,中亿华商,http://zyzto.com,,3000,北京市,北京市,,中亿华商众筹（北京）投资基金管理有限公司,,问题平台?,否?,否?,,,,,0105603-2281?,,,,北京市石景山区实兴大街30号院3号楼2层C-0082房间?,,2017-05-10?,2017-09-27?,网站打不开?,1小时?,,
7402,亚信贷,http://www.yaxindai.cn/,,3000,山东省,莱芜市,,山东亚信投资有限公司,,问题平台?,否?,否?,,,,,0634-8880888 ?,,,,莱芜市莲河置业大厦14层?,山东省莱芜市经济开发区赢牟东大街99号莲河置业大厦14楼?,2015-08-20?,,,1小时?,,
7403,众起信息,http://www.zq537.com/,,9000,北京市,北京市,,北京众起信息科技有限公司,,问题平台?,否?,否?,,,,,400-999-4537?,,,,北京市朝阳区芍药居北里101号1幢14层1座1705?,北京市朝阳区芍药居北里101号1幢14层1座1705?,2015-08-24?,,,1小时?,,
7404,盛融宝,http://www.shengrongb.com,,500,四川省,成都市,,百亿融创商贸（成都）有限公司,,问题平台?,否?,否?,,,,,400-6080701?,,,,成都市锦江区红星路一段35号附1号A区2楼106号?,,2017-06-27?,2017-09-27?,跑路?,1小时?,,
7405,悦财湾,http://www.ycaiwan.com,,5000,浙江省,杭州市,,杭州亚嘉金融服务外包有限公司,,正常?,否?,否?,,,,,400-150-9598?,浙江?,杭州?,江干区?,浙江省杭州市江干区学林街亚克时代广场1幢405室?,浙江省杭州经济技术开发区下沙街道松合时代商城1幢405室?,2017-06-28?,,,1小时?,91330109MA27X6FN7A?,
7406,有利金服,https://wei.youlijinfu.com?sourcetypeid=weixin,,5000,北京市,北京市,,北京有利金服技术服务有限公司,,正常?,否?,否?,,,,,400-600-3538?,,,,北京市西城区北环中心大厦9层?,北京市西城区裕民路18号9层905?,2017-03-27?,,,1小时?,,
7407,爱生息,https://www.ishengxi.com,,2000,山西省,阳泉市,,阳泉宏图共创科技有限公司,,预警平台?,否?,否?,,,,,400-0000-350?,,,,,阳泉经济技术开发区烟台路5号五龙佳苑B区商业楼E段底商4号?,2017-06-19?,2018-03-06?,清盘公告?,1小时?,,
7408,一路易贷,https://www.yiluyidaip2p.com/,,10000,上海市,上海市,,上海崇习金融信息服务有限公司,,正常?,否?,否?,,,,,021-62667505?,,,,上海市长宁区延安西路1088号长峰中心2508室?,上海市长宁区延安西路1088号2508、2509室?,2015-07-18?,,,1小时?,,
7409,车贷网,http://www.chedaiok.com/,,2000,北京市,北京市,,北京麦籽科技有限公司,,问题平台?,否?,否?,2016-11-25止?,,,,0573-88939209 400-618-1183?,,,,北京市海淀区创业中路32号楼32-1?,北京市海淀区创业中路32号楼32-1-1-382?,2014-07-05?,,,1小时?,,
7410,中小财富,http://www.zxcf.wang/,,6000,广东省,深圳市,前海,深圳市中小金协互联网金融服务有限公司,,正常?,否?,否?,客服给的地址不知道对不对，要了半天的：深圳市龙岗区龙岗街道同乐社区深汕路376号中小财富?,,,,400-154-4388?,广东?,深圳?,龙岗区?,深圳市龙岗区龙岗街道同乐社区深汕路376号中小财富?,深圳市前海深港合作区前湾一路63号前海企业公馆25B栋2层整层?,2015-07-09?,,,1小时?,91440300326517085Q?,4403050020060100037000001?
7411,沃贷宝,https://www.wodaibao.com/,,1177,吉林省,长春市,,吉林省帮我贷信息技术有限公司,,正常?,否?,否?,,,,,400-9660309?,,,,长春市绿园区汽贸小区以东、景阳大路以南中海凯旋门项目A5栋2单元1542号房?,长春市绿园区汽贸小区以东、景阳大路以南中海.凯旋门项目A5栋2单元1542号房?,2014-09-24?,,,1小时?,,
7412,茶融金,http://www.charongjin.cn/,,5000,北京市,北京市,,吉雨祥云投资管理有限公司,,正常?,否?,否?,原：http://www.charongjin.com/ 备用：https://www.charongjin.com?,,,,400-823-8055?,,,,西城区茶马北街1号院世纪茶贸中心2-2-238?,北京市海淀区中关村南大街46号14幢二层215室?,2015-08-11?,,,1小时?,,
7413,铭宏创投,http://www.sxmhct.com/,,5000,浙江省,绍兴市,,绍兴铭宏网络科技有限公司,,问题平台?,否?,否?,,,,,400-8016299?,,,,浙江省绍兴市柯桥区柯岩街道柯南大道2097号3号楼?,浙江省绍兴市柯桥区柯岩街道柯南大道2097号三号楼12层1201室?,2017-07-05?,2017-09-09?,打不开?,1小时?,,
7414,源如盛财富,http://www.yuanrusheng.com/,,10000,山东省,济南市,,山东源如盛农林科技投资有限公司,,正常?,否?,否?,,,,,400-0567-857?,,,,山东省临沂市通达路与陶然路交汇处?,山东省临沂市通达路与陶然路交汇处东南角（金雀山街道傅屯居委）?,2016-11-16?,,,1小时?,,
7415,大东北金融,http://www.ddbjr.com/,,5000,辽宁省,沈阳市,,沈阳中承纵横资本管理有限公司,,正常?,否?,否?,,,,,400-0024-558?,,,,沈阳市浑南区文溯街16-6号科技创新服务大厦?,沈阳市浑南区文溯街16-6号212室?,2015-05-20?,,,1小时?,,
7416,福乐猪,http://www.zyzbol.com/,,5000,北京市,北京市,,北京中裕鼎鑫资产管理有限公司,,正常?,否?,否?,2017-10-10网站打不开 原：http://www.cnrealhot.com/?,,,,4006-228-086?,,,,中国.辽宁省沈阳市沈河区小西路87甲号东大智慧大厦11楼?,北京市朝阳区五里桥二街2号院9号楼10层1014?,2016-08-02?,,,1小时?,,
7417,金豆创富,http://www.qhjdd.com/,,5000,广东省,深圳市,前海,深圳前海金豆子互联网金融服务有限公司,,正常?,否?,否?,,,,,4000-968-988?,广东?,深圳?,福田区?,深圳市福田区石厦北二街新天世纪商务中心B座15层1512?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2017-05-08?,,,1小时?,91440300326712454A?,4403050020060100017000001?
7418,道恩财富,http://www.daoencaifu.com/,,10000,辽宁省,大连市,,大连千年汇投资管理有限公司,,警?,否?,否?,,,,,400-8515-707?,,,,辽宁省大连市西岗区市场街112号?,辽宁省大连市西岗区市场街112号?,2015-10-23?,,,1小时?,,
7419,爱心贷,http://www.aixindai.cn/,,500,上海市,上海市,,上海方德信息技术股份有限公司,,问题平台?,否?,否?,,,,,021-61537057?,,,,上海市浦东新区民生路1199弄证大五道口广场金融大厦1号楼12楼?,中国（上海）自由贸易试验区郭守敬路498号14幢22301－1258座?,2015-01-01?,,,1小时?,,
7420,宇宙星投资,http://www.multajeans.com/,,500,北京市,北京市,,宇宙星国际商业管理（北京）有限公司,,问题平台?,否?,否?,,,,,,,,,,北京市朝阳区东四环中路78号B07B01?,2017-04-17?,2017-05-16?,,1小时?,,
7421,翠易贷,http://www.cuiyidai.com/,,1000,广东省,深圳市,前海,深圳翠易贷互联网金融服务有限公司,,问题平台?,否?,否?,,,,,400-133-6878?,广东?,深圳?,罗湖区?,深圳市罗湖区太宁路85号罗湖科技大厦609?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2016-12-11?,,,1小时?,914403003499162309?,4403050020060100017000001?
7422,金可贷,http://www.big-wealth.com/,,1500,黑龙江省,佳木斯市,,佳木斯可大投资管理有限公司,,正常?,否?,否?,,,,,400-0454-017 ?,,,,黑龙江省佳木斯市向阳区红旗路437号?,前进区港务社区（和平路北段）?,2017-03-29?,,,1小时?,,
7423,习贷网,http://www.xicredit.com/,,5000,上海市,上海市,,上海帝豪投资管理咨询有限公司,,正常?,否?,否?,,,,,+86-15-000-181-343?,,,,上海市黄浦区新富港中心?,上海市杨浦区武东路188号1514-4室?,2014-05-04?,,,1小时?,,
7424,壹品贷,http://www.onelogo-dai.com/,,400,吉林省,长春市,,长春市广通投资管理有限公司,,警?,否?,否?,,,,,0431-85313488-8016?,,,,中国吉林东北亚文化创意科技园实验楼414、415、416室?,高新区锦河街155号行政楼四层409室?,2014-05-04?,,,1小时?,,
7425,本特利金融,http://www.btljr.cn/,,1000,浙江省,台州市,,浙江本特利金融信息服务有限公司,,问题平台?,否?,否?,,,,,400-155-9999?,,,,台州市广场西路119号（劲野投资集团总部大楼）?,台州市广场西路119号1层?,2015-06-23?,2017-06-23?,打不开?,1小时?,,
7426,金范网,http://www.fjjfw.cn/,,3000,福建省,福州市,,福建金范网电子商务有限公司,,正常?,否?,否?,,,,,4009699060?,,,,福建省福州市鼓楼区五四路华城国际北楼22层1501室?,福建省福州市晋安区新店镇坂中路6号泰禾城市广场（一期）2#楼6层02办公?,2015-05-15?,,,1小时?,,
7427,筑金,https://www.0571zjzj.com/,,5000,浙江省,杭州市,,杭州筑金互联网金融服务有限公司,,正常?,否?,否?,,,,,400-030-0571?,,,,杭州市西湖区灵溪北路21号，杭州合生国贸中心6号楼8楼E?,杭州市西湖区灵溪北路21号6号楼8楼E座?,2015-11-05?,,,1小时?,,
7428,多享投,https://www.duoxiangtou.com/,,5000,陕西省,渭南市,,陕西思翔实业有限责任公司,,正常?,否?,否?,,,,,400-0505-195?,,,,渭南市仓程路中段风尚国际A座601室?,陕西省渭南市临渭区仓程路中段风尚国际6层602室?,2015-12-01?,,,1小时?,,
7429,千顺理财,http://www.qianshunlicai.com/,,1200,江苏省,南京市,,江苏友源资产管理有限公司,,问题平台?,否?,否?,,,,,0512-57993399?,,,,,昆山开发区伟业路8号318室?,2015-12-30?,,,1小时?,,
7430,互联财邦,http://www.huliancaibang.com/,,3000,湖南省,株洲市,石峰区,株洲惠邦网络科技有限公司,,问题平台?,否?,否?,,,,,400-0733-125?,,,,株洲市石峰区万博珑市场D5栋5楼?,株洲市石峰区响石广场响田西路67号?,2016-08-31?,,,1小时?,,
7431,联乔贷,http://www.lianqiaodai.com/,,1000,广东省,深圳市,前海,联乔互联网金融服务（深圳）有限公司,,正常?,否?,否?,2017-07-18 办公地址是信用网上的 山西分公司：大同市魏都大道78号富临宝城B座610室?,,,,4000-809-311?,广东?,深圳?,南山区?,深圳市南山区东滨路濠盛商务中心7楼707A?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：深圳市南山区东滨路濠盛商务中心7楼707A?,2015-07-29?,,,1小时?,91440300342844975F?,4403050020060100017000001?
7432,甬巨金服,http://www.yongjujinfu.com/,,3000,上海市,上海市,,甬钜信息科技（上海）有限公司,,正常?,否?,否?,旧名称和旧网址是：甬巨理财 http://www.yongjulicai.com/?,,,,400-0863-365?,,,,上海市长宁区中山西路999号华闻国际大厦911-912?,上海市长宁区天山路18号901-231室?,2017-07-10?,,,1小时?,,
7433,卓远金服,https://www.zhuoyuan88.com,,3000,陕西省,西安市,,西安卓远网络科技有限公司,,正常?,否?,否?,2017-07-21 湘融资本 替换为 卓远金服 原因是：湘融资本是高息?,,,,400-666-0019?,,,,陕西省西安市长安区航天中路399号神光双子大厦A座16楼?,陕西省西安市国家民用航天产业基地航天中路399号神光双子大厦103号楼A座1602号房?,2017-03-17?,,,1小时?,,
7434,万金财富网,http://wanjin123.com/,,1000,北京市,北京市,,北京万金财富投资管理有限公司,,警?,否?,否?,,,,,010-56188832?,,,,北京市朝阳区光华路丙12号数码01大厦十五层?,北京市西城区月坛南街32号509?,2017-01-17?,,,1小时?,,
7435,一百贷,http://www.ahhs100.com/a/autofinancing/index/index,,3000,安徽省,黄山市,,安徽微融互联网信息服务有限公司,,正常?,否?,否?,2017-10-25 原名：一百贷 http://www.ahhs100.com/ 黄山小羊在线投资管理有限公司 2018-06-04 原名：百贷金融 停?,,,,400-0559-619?,,,,安徽省黄山市黄山区甘棠六角楼茶叶市场展示中心S16号?,黄山市黄山区平湖中路太平花苑第一幢2号门面?,2016-12-11?,,,1小时?,,
7436,鲁银所,http://www.luyinsuo.com/,,500,山东省,济南市,,山东泺融信息技术有限公司,,问题平台?,否?,否?,,,,,400-875-1768 0531-58050913?,,,,山东省济南市花园路302号 林业大厦301?,山东省济南市历下区花园路302号林业大厦三楼301室?,2015-03-12?,,,1小时?,,
7437,易好贷,http://www.yihaodaibj.com/,,9800,北京市,北京市,,北京嘉汇卓通投资担保有限公司,,问题平台?,否?,否?,,,,,4008-900-137?,,,,,北京市朝阳区北苑东路19号院1号楼1810室28号?,2016-09-21?,2016-09-23?,,1小时?,,
7438,用呗金融,https://www.yonbb.com,,3000,广东省,广州市,白云区,广东国辉信息咨询服务有限公司,,正常?,否?,否?,2018-01-05：原名用呗金融更名为用呗在线 2018-01-15：又改为用呗金融?,,,,4000-333-100?,,,,广州市白云区云霄路88号B座5楼?,广州市白云区云霄路88号B-518?,2016-07-01?,,,1小时?,,
7439,钱加网,http://www.qjwdai.com/,,9888,浙江省,杭州市,萧山区,浙江鑫想投资管理有限公司,,预警平台?,否?,否?,2017-09-07 清盘公告?,,,,400-1500-280?,,,,浙江省 杭州市 滨江区 长河街道 江虹路735号5幢501?,浙江省杭州市萧山区北干街道金城路358号蓝爵国际中心5幢3102室?,2017-07-05?,2017-09-07?,清盘?,1小时?,,
7440,中盛金融e路贷,http://www.tczsjr.com/,,1000,新疆省,乌鲁木齐市,,塔城中盛互联网金融信息服务有限公司,,正常?,否?,否?,,,,,400-0901-955?,,,,塔城市中亚集贸城三楼?,新疆塔城地区塔城市光明路（中亚集贸城三楼）?,2015-12-04?,,,1小时?,,
7441,大金所,http://www.xinmincaifu.com/,,5001,广东省,深圳市,前海,深圳市大日互联网金融服务有限公司,,问题平台?,否?,否?,,,,,400-1044-199?,广东?,深圳?,罗湖区?,深圳市罗湖区嘉宾路4028号太平洋商贸大厦B座2215?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-09-23?,,,1小时?,91440300334975131W?,4403050020060100017000001?
7442,江西快融网,http://www.krjrong.com/,,1000,江西省,宜春市,,江西快融金融服务有限公司,,正常?,否?,否?,,,,,0795-5680000?,,,,江西省高安市亿达广场三楼?,江西省宜春市高安市瑞阳大道888号?,2016-08-30?,,,1小时?,,
7443,网联投资,http://www.wlxdyh.com/Home/Index/main.html,,10000,广东省,深圳市,龙华区,深圳网联投资管理有限公司,,问题平台?,否?,否?,原名：息壤金服 2018-01-13 16:19:12 更名公告。乾壹金服正式更名为“息壤金服” 2017-07-20 深圳华融道 http://jyl.w?,,,,400-1088-318?,广东?,深圳?,龙华区?,广东省深圳市龙华新区大道潜龙曼海宁广场17层?,深圳市龙华区大浪街道龙平社区新区大道1002号潜龙曼海宁北区6栋17A?,2017-05-10?,2018-10-25?,网站打不开?,1小时?,91440300060274150X?,
